"county_name","year","SUMLEV","REGION","DIVISION","Civilian_labor_force","Employed","Unemployed","Unemployment_rate"
"Yates",2010,50,1,2,12239,11317,922,7.5
"Yates",2011,50,1,2,12104,11190,914,7.6
"Yates",2012,50,1,2,12071,11116,955,7.9
"Yates",2013,50,1,2,11961,11122,839,7
"Yates",2014,50,1,2,11677,11011,666,5.7
"Yates",2015,50,1,2,11722,11134,588,5
"Yates",2016,50,1,2,11720,11194,526,4.5
"Yates",2017,50,1,2,11838,11322,516,4.4
"Yates",2018,50,1,2,12044,11593,451,3.7
"Yates",2019,50,1,2,12223,11788,435,3.6
"Yates",2020,50,1,2,11844,11103,741,6.3
